id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_117_chat","Chat → _is_host_pid_alive","Chat → _is_host_pid_alive","cross_community",5,"['comm_125','comm_139','comm_103']","Function:cli.py:HermesCLI.chat","Function:tools/process_registry.py:ProcessRegistry._is_host_pid_alive"
"proc_118_chat","Chat → _coerce_int","Chat → _coerce_int","cross_community",5,"['comm_125','comm_140','comm_682']","Function:cli.py:HermesCLI.chat","Function:agent/smart_model_routing.py:_coerce_int"
"proc_119_cmd_wallet","Cmd_wallet → _normalize_name","Cmd_wallet → _normalize_name","cross_community",5,"['comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_wallet","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_120_cmd_tx","Cmd_tx → _normalize_name","Cmd_tx → _normalize_name","cross_community",5,"['comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_tx","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_121_cmd_gas","Cmd_gas → _normalize_name","Cmd_gas → _normalize_name","cross_community",5,"['comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_gas","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_122_cmd_contract","Cmd_contract → _normalize_name","Cmd_contract → _normalize_name","cross_community",5,"['comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_contract","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_123_run_doctor","Run_doctor → Isatty","Run_doctor → Isatty","cross_community",5,"['comm_535','comm_22','comm_23']","Function:hermes_cli/doctor.py:run_doctor","Function:run_agent.py:_SafeWriter.isatty"
"proc_124_cmd_migrate","Cmd_migrate → Flush","Cmd_migrate → Flush","cross_community",5,"['comm_1192','comm_21']","Function:plugins/memory/honcho/cli.py:cmd_migrate","Function:run_agent.py:_SafeWriter.flush"
"proc_125_cmd_migrate","Cmd_migrate → Isatty","Cmd_migrate → Isatty","cross_community",5,"['comm_1192','comm_23']","Function:plugins/memory/honcho/cli.py:cmd_migrate","Function:run_agent.py:_SafeWriter.isatty"
"proc_126_rollout_and_score_ev","Rollout_and_score_eval → _normalize_tar_member_parts","Rollout_and_score_eval → _normalize_tar_member_parts","cross_community",5,"['comm_1207','comm_1181']","Function:environments/benchmarks/terminalbench_2/terminalbench2_env.py:TerminalBench2EvalEnv.rollout_and_score_eval","Function:environments/benchmarks/terminalbench_2/terminalbench2_env.py:_normalize_tar_member_parts"
"proc_127_main","Main → Add_trajectory_metrics","Main → Add_trajectory_metrics","cross_community",5,"['comm_4','comm_5','comm_7']","Function:trajectory_compressor.py:main","Function:trajectory_compressor.py:AggregateMetrics.add_trajectory_metrics"
"proc_128_switch_model","Switch_model → Is_claude_code_token_valid","Switch_model → Is_claude_code_token_valid","intra_community",5,"['comm_32']","Function:run_agent.py:AIAgent.switch_model","Function:agent/anthropic_adapter.py:is_claude_code_token_valid"
"proc_129_switch_model","Switch_model → Read_text","Switch_model → Read_text","cross_community",5,"['comm_32','comm_789']","Function:run_agent.py:AIAgent.switch_model","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_130_handle_ctrl_c","Handle_ctrl_c → Invalidate","Handle_ctrl_c → Invalidate","cross_community",5,"['comm_168','comm_167','comm_130','comm_159']","Function:cli.py:HermesCLI.handle_ctrl_c","Function:tests/cli/test_cli_secret_capture.py:_FakeApp.invalidate"
"proc_131_main","Main → _print_summary","Main → _print_summary","intra_community",5,"['comm_4']","Function:scripts/sample_and_compress.py:main","Function:trajectory_compressor.py:TrajectoryCompressor._print_summary"
"proc_132_setup_gateway","Setup_gateway → Get_hermes_home","Setup_gateway → Get_hermes_home","cross_community",5,"['comm_22','comm_542','comm_117']","Function:hermes_cli/setup.py:setup_gateway","Function:hermes_constants.py:get_hermes_home"
"proc_133_get_model_info_any_p","Get_model_info_any_provider → Get_hermes_home","Get_model_info_any_provider → Get_hermes_home","cross_community",5,"['comm_285','comm_693','comm_117']","Function:agent/models_dev.py:get_model_info_any_provider","Function:hermes_constants.py:get_hermes_home"
"proc_134_get_model_info_any_p","Get_model_info_any_provider → Flush","Get_model_info_any_provider → Flush","cross_community",5,"['comm_285','comm_693','comm_1','comm_21']","Function:agent/models_dev.py:get_model_info_any_provider","Function:run_agent.py:_SafeWriter.flush"
"proc_135_get_model_info_any_p","Get_model_info_any_provider → Fileno","Get_model_info_any_provider → Fileno","cross_community",5,"['comm_285','comm_693','comm_1','comm_22']","Function:agent/models_dev.py:get_model_info_any_provider","Function:run_agent.py:_SafeWriter.fileno"
"proc_136_get_model_info_any_p","Get_model_info_any_provider → _normalize_name","Get_model_info_any_provider → _normalize_name","cross_community",5,"['comm_285','comm_693','comm_433','comm_443']","Function:agent/models_dev.py:get_model_info_any_provider","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_137_cmd_identity","Cmd_identity → _get_profiles_root","Cmd_identity → _get_profiles_root","cross_community",5,"['comm_878','comm_1192','comm_481','comm_480']","Function:plugins/memory/honcho/cli.py:cmd_identity","Function:hermes_cli/profiles.py:_get_profiles_root"
"proc_138_handle_tool_call","Handle_tool_call → _git_repo_name","Handle_tool_call → _git_repo_name","cross_community",5,"['comm_879','comm_1191','comm_882']","Function:plugins/memory/honcho/__init__.py:HonchoMemoryProvider.handle_tool_call","Function:plugins/memory/honcho/client.py:HonchoClientConfig._git_repo_name"
"proc_139_handle_tool_call","Handle_tool_call → _get_or_create_peer","Handle_tool_call → _get_or_create_peer","cross_community",5,"['comm_879','comm_1189']","Function:plugins/memory/honcho/__init__.py:HonchoMemoryProvider.handle_tool_call","Function:plugins/memory/honcho/session.py:HonchoSessionManager._get_or_create_peer"
"proc_140_handle_tool_call","Handle_tool_call → _normalize_card","Handle_tool_call → _normalize_card","cross_community",5,"['comm_879','comm_1189']","Function:plugins/memory/honcho/__init__.py:HonchoMemoryProvider.handle_tool_call","Function:plugins/memory/honcho/session.py:HonchoSessionManager._normalize_card"
"proc_141_cmd_wallet","Cmd_wallet → _normalize_name","Cmd_wallet → _normalize_name","cross_community",5,"['comm_1230','comm_1229','comm_1228','comm_433','comm_443']","Function:optional-skills/blockchain/solana/scripts/solana_client.py:cmd_wallet","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_142_select_provider_and_","Select_provider_and_model → ConfigIssue","Select_provider_and_model → ConfigIssue","cross_community",5,"['comm_197','comm_465','comm_541']","Function:hermes_cli/main.py:select_provider_and_model","Class:hermes_cli/config.py:ConfigIssue"
"proc_143_select_provider_and_","Select_provider_and_model → Get_hermes_home","Select_provider_and_model → Get_hermes_home","cross_community",5,"['comm_197','comm_465','comm_576','comm_574','comm_117']","Function:hermes_cli/main.py:select_provider_and_model","Function:hermes_constants.py:get_hermes_home"
"proc_144_select_provider_and_","Select_provider_and_model → Has_credentials","Select_provider_and_model → Has_credentials","cross_community",5,"['comm_197','comm_465','comm_585','comm_568']","Function:hermes_cli/main.py:select_provider_and_model","Function:agent/credential_pool.py:CredentialPool.has_credentials"
"proc_145_select_provider_and_","Select_provider_and_model → _qwen_cli_auth_path","Select_provider_and_model → _qwen_cli_auth_path","cross_community",5,"['comm_197','comm_465','comm_585','comm_580']","Function:hermes_cli/main.py:select_provider_and_model","Function:hermes_cli/auth.py:_qwen_cli_auth_path"
"proc_146_resolve_nous_access_","Resolve_nous_access_token → Get_hermes_home","Resolve_nous_access_token → Get_hermes_home","cross_community",5,"['comm_576','comm_575','comm_574','comm_117']","Function:hermes_cli/auth.py:resolve_nous_access_token","Function:hermes_constants.py:get_hermes_home"
"proc_147_text_to_speech_tool","Text_to_speech_tool → Items","Text_to_speech_tool → Items","cross_community",5,"['comm_201','comm_202','comm_197','comm_285']","Function:tools/tts_tool.py:text_to_speech_tool","Function:hermes_cli/nous_subscription.py:NousSubscriptionFeatures.items"
"proc_148_cmd_insights","Cmd_insights → CanonicalUsage","Cmd_insights → CanonicalUsage","cross_community",5,"['comm_104','comm_704','comm_676']","Function:hermes_cli/main.py:cmd_insights","Class:agent/usage_pricing.py:CanonicalUsage"
"proc_149_cmd_status","Cmd_status → _get_wrapper_dir","Cmd_status → _get_wrapper_dir","cross_community",5,"['comm_878','comm_485','comm_483']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:hermes_cli/profiles.py:_get_wrapper_dir"
"proc_150_cmd_status","Cmd_status → _get_default_hermes_home","Cmd_status → _get_default_hermes_home","cross_community",5,"['comm_878','comm_485','comm_481']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:hermes_cli/profiles.py:_get_default_hermes_home"
"proc_151_cmd_status","Cmd_status → _read_config_model","Cmd_status → _read_config_model","cross_community",5,"['comm_878','comm_485']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:hermes_cli/profiles.py:_read_config_model"
"proc_152_cmd_status","Cmd_status → ProfileInfo","Cmd_status → ProfileInfo","cross_community",5,"['comm_878','comm_485']","Function:plugins/memory/honcho/cli.py:cmd_status","Class:hermes_cli/profiles.py:ProfileInfo"
"proc_153_cmd_status","Cmd_status → Read_text","Cmd_status → Read_text","cross_community",5,"['comm_878','comm_789']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_154_cmd_status","Cmd_status → Get_hermes_home","Cmd_status → Get_hermes_home","cross_community",5,"['comm_878','comm_481','comm_117']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:hermes_constants.py:get_hermes_home"
"proc_155_cmd_status","Cmd_status → _get_profiles_root","Cmd_status → _get_profiles_root","cross_community",5,"['comm_878','comm_481','comm_480']","Function:plugins/memory/honcho/cli.py:cmd_status","Function:hermes_cli/profiles.py:_get_profiles_root"
"proc_156_cmd_add","Cmd_add → Read_text","Cmd_add → Read_text","cross_community",5,"['comm_793','comm_433','comm_444','comm_789']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_add","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_157_cmd_add","Cmd_add → AgentDefinition","Cmd_add → AgentDefinition","cross_community",5,"['comm_793','comm_433','comm_444']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_add","Class:orchestrator/models.py:AgentDefinition"
"proc_158_cmd_add_quiz","Cmd_add_quiz → Read_text","Cmd_add_quiz → Read_text","cross_community",5,"['comm_793','comm_433','comm_444','comm_789']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_add_quiz","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_159_cmd_add_quiz","Cmd_add_quiz → AgentDefinition","Cmd_add_quiz → AgentDefinition","cross_community",5,"['comm_793','comm_433','comm_444']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_add_quiz","Class:orchestrator/models.py:AgentDefinition"
"proc_160_cmd_rate","Cmd_rate → Read_text","Cmd_rate → Read_text","cross_community",5,"['comm_793','comm_433','comm_444','comm_789']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_rate","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_161_cmd_rate","Cmd_rate → AgentDefinition","Cmd_rate → AgentDefinition","cross_community",5,"['comm_793','comm_433','comm_444']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_rate","Class:orchestrator/models.py:AgentDefinition"
"proc_162_cmd_import","Cmd_import → Read_text","Cmd_import → Read_text","cross_community",5,"['comm_793','comm_433','comm_444','comm_789']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_import","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_163_cmd_import","Cmd_import → AgentDefinition","Cmd_import → AgentDefinition","cross_community",5,"['comm_793','comm_433','comm_444']","Function:optional-skills/productivity/memento-flashcards/scripts/memento_cards.py:cmd_import","Class:orchestrator/models.py:AgentDefinition"
"proc_164_cmd_stats","Cmd_stats → _normalize_name","Cmd_stats → _normalize_name","cross_community",5,"['comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_stats","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_165_cmd_token","Cmd_token → _normalize_name","Cmd_token → _normalize_name","cross_community",5,"['comm_1231','comm_1232','comm_433','comm_443']","Function:optional-skills/blockchain/base/scripts/base_client.py:cmd_token","Function:orchestrator/roster.py:AgentRoster._normalize_name"
"proc_166_messages_read","Messages_read → Read_text","Messages_read → Read_text","cross_community",5,"['comm_94','comm_92','comm_433','comm_444','comm_789']","Function:mcp_serve.py:messages_read","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_167_messages_read","Messages_read → AgentDefinition","Messages_read → AgentDefinition","cross_community",5,"['comm_94','comm_92','comm_433','comm_444']","Function:mcp_serve.py:messages_read","Class:orchestrator/models.py:AgentDefinition"
"proc_168_attachments_fetch","Attachments_fetch → Read_text","Attachments_fetch → Read_text","cross_community",5,"['comm_93','comm_92','comm_433','comm_444','comm_789']","Function:mcp_serve.py:attachments_fetch","Function:optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py:read_text"
"proc_169_attachments_fetch","Attachments_fetch → AgentDefinition","Attachments_fetch → AgentDefinition","cross_community",5,"['comm_93','comm_92','comm_433','comm_444']","Function:mcp_serve.py:attachments_fetch","Class:orchestrator/models.py:AgentDefinition"
"proc_170_handle_ctrl_z","Handle_ctrl_z → Get_hermes_home","Handle_ctrl_z → Get_hermes_home","cross_community",5,"['comm_125','comm_469','comm_117']","Function:cli.py:HermesCLI.handle_ctrl_z","Function:hermes_constants.py:get_hermes_home"
"proc_171_handle_ctrl_z","Handle_ctrl_z → SkinConfig","Handle_ctrl_z → SkinConfig","cross_community",5,"['comm_125','comm_466']","Function:cli.py:HermesCLI.handle_ctrl_z","Class:hermes_cli/skin_engine.py:SkinConfig"
"proc_172_main","Main → _format_tools_for_system_message","Main → _format_tools_for_system_message","intra_community",5,"['comm_91']","Function:mini_swe_runner.py:main","Function:mini_swe_runner.py:MiniSWERunner._format_tools_for_system_message"
"proc_173_main","Main → _get_zoneinfo","Main → _get_zoneinfo","cross_community",5,"['comm_91','comm_100','comm_99']","Function:mini_swe_runner.py:main","Function:hermes_time.py:_get_zoneinfo"
"proc_174_run_uninstall","Run_uninstall → Isatty","Run_uninstall → Isatty","cross_community",5,"['comm_459','comm_22','comm_23']","Function:hermes_cli/uninstall.py:run_uninstall","Function:run_agent.py:_SafeWriter.isatty"
"proc_175_setup_agent_settings","Setup_agent_settings → Isatty","Setup_agent_settings → Isatty","cross_community",5,"['comm_22','comm_23']","Function:hermes_cli/setup.py:setup_agent_settings","Function:run_agent.py:_SafeWriter.isatty"
"proc_176_setup_agent_settings","Setup_agent_settings → Get_hermes_home","Setup_agent_settings → Get_hermes_home","cross_community",5,"['comm_22','comm_542','comm_117']","Function:hermes_cli/setup.py:setup_agent_settings","Function:hermes_constants.py:get_hermes_home"
